N,p,n,k,lam,alpha_attr,alpha_rob,alpha_match,scc_outcome,robustness_outcome,match_outcome
12,0.03352973617714982,1,0,3,0.5584,0.3999,0.04170000000000001,5.875,0.6375488281249999,0.41890869140625
11,0.02439275166678046,1,2,3,0.5357,0.3281,0.1362000000000001,5.925,0.8392755681818184,0.4383522727272727
12,0.026050991258391963,4,1,1,0.3052,0.447,0.2478,1.0,1.0,0.5750000000000001
12,0.018857725007804086,4,2,5,0.676,0.0199,0.3041,1.0,1.0,0.5817708333333333
12,0.04441799387631644,4,1,2,0.1124,0.2741,0.6135,1.0,0.7327738444010417,0.485516357421875
10,0.03555352219521558,3,1,2,0.2705,0.3012,0.4283,1.95,0.6972705078125,0.489364013671875
10,0.038488827850326576,2,0,7,0.7161,0.0445,0.2394,1.1,0.6554492187500001,0.509562255859375
11,0.019976172022566817,2,1,4,0.9836,0.0042,0.012200000000000011,2.475,0.6234352805397727,0.39383212002840917
11,0.024109382343062837,2,1,8,0.1833,0.6572,0.1595,5.125,1.0,0.4079545454545455
11,0.020342684051562414,1,0,3,0.9605,0.0018,0.03769999999999999,9.575,0.8171875,0.540625
11,0.035094304605959095,3,0,10,0.6455,0.2238,0.13069999999999998,1.35,0.595516690340909,0.5492256101497934
12,0.039187347417667495,5,2,2,0.1792,0.3623,0.4585,1.0,0.8368448893229168,0.2694058736165365
11,0.027230206885709485,1,1,9,0.9641,0.0335,0.002400000000000011,7.375,0.549715909090909,0.5111505681818181
12,0.030093137249267134,3,2,10,0.988,0.0015,0.010500000000000112,1.125,0.9261027018229167,0.5909291585286457
11,0.03462903501563276,4,1,9,0.193,0.4537,0.3533,1.0,0.5801890980113635,0.24376442649147725
11,0.04944742996228034,3,1,3,0.5885,0.3465,0.065,1.15,0.7628284801136365,0.4429119318181818
12,0.04655978677693969,2,1,5,0.2236,0.5168,0.2596,2.625,0.852734375,0.5467447916666666
10,0.04627540920028261,3,2,2,0.9849,0.0127,0.0024,1.15,1.0,0.5941666666666666
11,0.023103655074287768,2,1,8,0.2895,0.1367,0.5738,3.075,0.7811789772727271,0.47656397964015157
11,0.014596154383807585,5,1,6,0.0067,0.9151,0.0782,1.0,0.7748202237215909,0.46666648171164765
11,0.02387208101064516,4,1,7,0.238,0.5021,0.25989999999999996,1.0,0.8454922762784092,0.5503123890269885
12,0.02378112821283505,3,1,4,0.7046,0.0142,0.2812,1.0,0.814013671875,0.5002604166666667
12,0.014857297972391204,1,1,7,0.959,0.02,0.021,10.7,0.8333333333333334,0.5200651041666667
11,0.03554014867270888,2,0,9,0.5139,0.2147,0.2714,2.0,0.6139470880681819,0.5441844593394886
10,0.045059857246592755,3,2,1,0.6613,0.2569,0.0818,1.2,0.9855078125000001,0.496875
12,0.014751094807925715,1,1,5,0.9534,0.0317,0.0149,6.7,0.6666666666666665,0.4526041666666666
10,0.017951065842009135,4,1,8,0.014,0.529,0.457,1.0,0.9925585937499999,0.5
10,0.04667741160302812,3,0,5,0.767,0.0092,0.2238,1.0,0.8395117187500001,0.46331431995738637
11,0.03036303134398366,2,2,3,0.6503,0.3263,0.02340000000000011,4.65,0.8760564630681819,0.5944385258838384
11,0.023325630828099762,4,0,9,0.2935,0.1432,0.5633,1.0,0.4465975674715909,0.5705587001241298
10,0.03350149244357621,4,1,4,0.5395,0.3596,0.10089999999999999,1.0,0.969677734375,0.47520660400390613
12,0.031841165040884786,3,1,8,0.98,0.0002,0.0198,1.575,0.921685791015625,0.40910059611002614
10,0.011218212400275367,1,0,7,0.3636,0.4199,0.2165,3.1,0.95734375,0.48349564302884607
11,0.04271323373519274,3,1,6,0.7883,0.0042,0.20750000000000002,1.0,0.6444380326704545,0.4840609992221321
10,0.03689348406222176,4,0,2,0.5752,0.3708,0.05400000000000001,1.0,0.80787109375,0.47192370605468736
10,0.049324598385813455,3,0,10,0.2549,0.3268,0.4183,1.0,0.5187158203125,0.5774194335937499
11,0.03238958412663898,1,1,7,0.275,0.4457,0.2793,4.375,0.5376775568181819,0.5177219460227273
12,0.026109344048270457,5,1,4,0.7595,0.1511,0.0894,1.0,0.86585693359375,0.4817474365234375
12,0.03366516515112613,4,2,8,0.1827,0.5614,0.2559,1.0,0.7751342773437501,0.5215464274088542
11,0.017909051958821406,5,1,4,0.4357,0.4402,0.12410000000000011,1.0,0.9906471946022727,0.3667648355062906
10,0.029456620712818883,3,1,7,0.5864,0.2633,0.1503,1.025,0.8034765624999999,0.48443359375000006
11,0.024312390869521874,2,0,1,0.6685,0.235,0.0965,2.675,0.7124156605113636,0.4269198330965908
11,0.039458849328618796,2,2,4,0.4311,0.4906,0.0783,1.125,0.9485329367897727,0.5091233132102272
10,0.03822613042372127,4,2,3,0.9785,0.0035,0.018,1.0,1.0,0.5925
12,0.01323532593584843,3,2,8,0.8215,0.0283,0.1502,1.0,0.95064697265625,0.5812990824381512
10,0.02729698501985421,3,1,1,0.9421,0.0373,0.02059999999999999,1.425,0.84525390625,0.4957142857142857
10,0.04398551983418585,5,0,8,0.3921,0.2346,0.3733,1.0,0.43902832031249994,0.6050935058593749
11,0.013907417629796944,5,1,7,0.7696,0.1088,0.1216,1.0,0.5688498757102274,0.5030406605113636
11,0.03079257552679928,4,0,9,0.3814,0.5248,0.0938,1.65,0.5031449751420455,0.6080406082699309
12,0.033138515484209666,3,0,8,0.1969,0.4131,0.39,1.225,0.9330322265625,0.47533152262369793
11,0.02747797322796637,2,2,9,0.4609,0.5325,0.0066,2.325,0.876424893465909,0.6341663707386364
12,0.04739544343133059,4,2,8,0.6785,0.0793,0.2422,1.0,0.6788085937499999,0.44986826578776035
10,0.026799761447721372,3,1,7,0.4786,0.3183,0.2031,1.0,0.6657958984375,0.6649999999999999
12,0.018183569180329526,1,1,7,0.375,0.3381,0.2869,4.025,0.7283203124999998,0.5825651041666666
11,0.045234310384750266,4,1,5,0.5526,0.1669,0.2805,2.675,0.9748313210227273,0.37443921638257577
11,0.04666144941657229,5,1,0,0.6834,0.0351,0.2815,1.0,0.7385919744318181,0.38783069957386357
10,0.03920116034525324,2,2,4,0.3466,0.5185,0.1349,1.075,0.7821484374999998,0.574052734375
11,0.035503971092080325,5,2,6,0.2992,0.4065,0.2943,1.0,0.6426846590909092,0.5156777121803977
11,0.049815590743126435,4,1,3,0.0524,0.1039,0.8437,1.475,0.6905206853693182,0.5215443004261363
11,0.041986888870579296,3,1,6,0.8535,0.1058,0.040700000000000014,1.65,0.6299027876420453,0.45909645774147734
12,0.03987697999472424,2,2,2,0.9888,0.0068,0.0044,3.05,0.67484130859375,0.4370325159143519
12,0.03681186896151915,3,2,9,0.1948,0.0229,0.7823,1.325,0.6426340738932291,0.5184987190442207
11,0.01851306632990394,3,2,8,0.7778,0.206,0.0162,1.925,0.8774325284090908,0.3101888760653409
10,0.014267042167778519,1,0,10,0.5882,0.2241,0.18770000000000012,3.325,0.9009765625,0.5063020833333332
10,0.036411251526914795,1,0,6,0.4945,0.3785,0.127,5.05,0.6953125,0.49064453124999996
11,0.043934179118887015,3,2,7,0.8487,0.0666,0.0847,1.0,0.7364280007102273,0.4942466042258523
11,0.033378182884618676,5,1,10,0.2776,0.5366,0.1858,1.0,0.7727827592329546,0.45598089044744317
11,0.020277105770919037,2,2,5,0.6266,0.3038,0.06959999999999988,4.675,0.7162997159090909,0.30722064393939397
11,0.026008022192652025,5,1,3,0.7611,0.0006,0.2383,1.025,0.7196355646306818,0.43249095569957385
10,0.044764834386943494,2,1,9,0.1985,0.4378,0.3636999999999998,1.65,0.80921875,0.39778645833333337
10,0.017035957319831145,4,2,3,0.6832,0.1672,0.1496,1.0,0.5797216796875,0.39012255859375
12,0.03443429300641275,2,2,1,0.8794,0.1144,0.006200000000000011,3.65,0.93271484375,0.5020833333333334
11,0.026060226554487552,5,1,3,0.495,0.4325,0.0725,1.0,0.9702370383522727,0.6265115316812093
10,0.0232688970953416,5,1,9,0.9899,0.0035,0.0066,1.0,0.6339794921874999,0.619732666015625
12,0.020130888583425266,3,1,9,0.2837,0.5894,0.1269,1.0,0.8831736246744791,0.19899851481119793
12,0.02525847790301676,2,1,10,0.393,0.3001,0.3069,3.625,0.9042317708333332,0.4958333333333333
11,0.03948987268125149,2,0,5,0.5375,0.3778,0.0847,1.125,0.981704989346591,0.2909022475733902
11,0.015068420917941104,2,1,3,0.3361,0.6066,0.0573,1.05,1.0,0.7227272727272729
12,0.012883590586721888,3,1,0,0.0042,0.8832,0.1126,1.0,0.8494466145833334,0.399391098022461
12,0.03924465644886982,4,1,2,0.5294,0.2716,0.199,1.825,0.7938120524088543,0.6185487535264755
11,0.029801394442991576,5,0,8,0.6976,0.1152,0.18719999999999998,1.0,0.6252663352272728,0.49162777599584545
12,0.01664257109426542,4,0,2,0.3956,0.4174,0.187,1.0,0.9658894856770834,0.4041254467434355
10,0.016956242291915537,2,2,4,0.0868,0.9057,0.007500000000000111,3.725,0.924912109375,0.4930419921875
11,0.02934553654710368,1,1,9,0.0431,0.7862,0.1707,2.0,0.8014382102272727,0.4514137961647727
11,0.03532902595075859,2,1,8,0.8438,0.0814,0.0748,2.5,0.74482421875,0.6116854580965909
10,0.04735055063651424,3,2,8,0.046,0.3168,0.6372,1.2,0.7859570312499999,0.5399658203125
10,0.019057907980667657,1,1,8,0.2681,0.4382,0.2937,6.3,0.5584374999999998,0.43698459201388873
10,0.034047721621264064,1,1,8,0.7705,0.1961,0.03340000000000001,4.85,0.5856250000000001,0.49964285714285717
12,0.04866358770539496,2,2,3,0.0905,0.7927,0.1168,2.1,0.97841796875,0.5434407552083333
11,0.049976667256667655,3,0,5,0.486,0.3187,0.1953,1.075,0.8908491654829543,0.5411099520596592
10,0.01486749298240483,5,1,1,0.7101,0.2497,0.040200000000000014,1.0,0.987060546875,0.5813134765624999
11,0.016810366222149705,1,2,7,0.5824,0.0372,0.3804,5.35,0.8193181818181816,0.33494318181818183
11,0.04740531114527691,3,1,5,0.0779,0.3543,0.5678,1.85,0.84345703125,0.7540793678977273
11,0.015855700451232232,1,2,6,0.7646,0.115,0.1204000000000001,6.025,0.798046875,0.570614346590909
11,0.03608799006976318,3,0,9,0.7485,0.2455,0.006,1.3,0.9978626598011363,0.533500453404018
10,0.04082158798123892,2,1,3,0.253,0.1767,0.5703,2.4,0.6714453125000002,0.6379638671875
11,0.017466259572378885,4,2,5,0.7996,0.082,0.1184,1.0,0.9982688210227273,0.7180952592329545
12,0.016542242481084553,4,0,7,0.6006,0.0759,0.3235,1.025,0.689312744140625,0.47997168081778063
10,0.04796186116886828,4,0,9,0.1859,0.7895,0.02459999999999999,1.025,0.9829296875000001,0.5114861111111109
12,0.04360466403441553,2,0,8,0.7393,0.2604,0.00029999999999998897,1.25,0.5941467285156249,0.37497019449869795
10,0.028933139444915185,5,0,3,0.4016,0.0321,0.5663,1.0,0.3908837890625,0.4562652205650252
11,0.024472512177279,3,2,2,0.6797,0.0086,0.3117,2.0,0.8109552556818184,0.3267200816761363
10,0.0331637785622169,3,1,3,0.7986,0.025,0.1764,1.475,0.70984375,0.6337011718750001
10,0.03602305057756317,3,0,4,0.9567,0.0335,0.00979999999999999,1.0,0.704072265625,0.5786474609375001
12,0.0236480664942667,4,1,5,0.8641,0.1344,0.001500000000000111,1.0,0.7763387044270832,0.5051782678674768
10,0.0422668310550712,5,2,2,0.2289,0.2792,0.4919,1.0,0.787099609375,0.778837890625
10,0.03518400430322463,3,0,1,0.4743,0.5023,0.02340000000000001,1.275,0.5946386718750001,0.6494265950520832
10,0.03450336953679482,5,1,8,0.114,0.7754,0.11060000000000002,1.125,0.8152685546875,0.518804931640625
12,0.019395654887891633,1,0,6,0.6746,0.1594,0.16599999999999998,8.775,0.751953125,0.5003655327690972
11,0.02826280211800245,5,0,4,0.7647,0.2047,0.0306,1.0,0.8419788707386363,0.45030428799715916
